vtrace_delay;input_started_time;input_finished_time;output_finished_time;vtrace_rom_raddr;dct2d_cnt;halt_time;2ddct_correct;2ddct_data;
0;30;1169;1265;70;504;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-161,-116,155,-57,43,-68,-20,-15,200,24,-56,31,-35,27,-20,6,-5,-16,-12,-1,-3,0,-1,2,-14,-7,-2,-1,1,1,0,-4,396,308,72,-263,144,388,-141,504,237,-109,-355,-133,-163,-191,-166,-74,-467,-133,406,82,-103,188,199,16,409,-66,-35,173,77,41,-344,399,-270,-24,202,-188,-354,-129,-149,-295,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-267,-99,73,-79,57,-54,30,-12,40,31,14,5,-25,-10,-29,69,-13,-2,-3,4,-2,-1,-4,-4,36,31,32,-1,-15,-15,-33,85,-3,-3,-5,-4,-1,1,-1,4,60,51,52,-2,-21,-25,-53,118,-3,1,0,-7,-4,-3,-6,8,196,151,146,-7,-70,-69,-138,356,274,-56,34,-43,25,-26,18,-7,2,-9,-10,-2,-4,0,-2,-2,72,-122,107,-101,83,-66,47,-21,-6,-4,-2,0,0,1,1,1,-63,86,-85,76,-64,50,-36,15,-4,0,-1,-2,-2,-3,-1,-2,31,-49,45,-43,34,-29,19,-9,-1,-1,-2,0,0,2,0,0,256,143,-157,113,-120,53,-65,-83,19,145,22,37,-42,56,9,182,233,124,117,-101,-29,-97,48,-121,62,86,16,28,-20,45,6,147,-305,-258,-64,-15,78,-33,-27,-164,400,-110,-245,185,-24,141,-102,65,263,-3,-118,74,-42,37,-50,-60,-49,50,43,-19,-5,-7,17,40,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-346,11,-31,14,-22,8,-13,10,4,80,-33,47,-61,18,-49,79,44,-82,72,-64,56,-46,27,-20,17,57,7,22,-34,0,-43,90,13,-25,16,-22,14,-11,7,0,36,84,21,26,-44,-7,-66,125,-9,11,-8,1,-11,2,-9,10,191,158,140,-1,-75,-65,-141,357,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010;
1;31;1169;1265;70;504;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-161,-116,155,-57,43,-68,-20,-15,200,24,-56,31,-35,27,-20,6,-5,-16,-12,-1,-3,0,-1,2,-14,-7,-2,-1,1,1,0,-4,396,308,72,-263,144,388,-141,504,237,-109,-355,-133,-163,-191,-166,-74,-467,-133,406,82,-103,188,199,16,409,-66,-35,173,77,41,-344,399,-270,-24,202,-188,-354,-129,-149,-295,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-267,-99,73,-79,57,-54,30,-12,40,31,14,5,-25,-10,-29,69,-13,-2,-3,4,-2,-1,-4,-4,36,31,32,-1,-15,-15,-33,85,-3,-3,-5,-4,-1,1,-1,4,60,51,52,-2,-21,-25,-53,118,-3,1,0,-7,-4,-3,-6,8,196,151,146,-7,-70,-69,-138,356,274,-56,34,-43,25,-26,18,-7,2,-9,-10,-2,-4,0,-2,-2,72,-122,107,-101,83,-66,47,-21,-6,-4,-2,0,0,1,1,1,-63,86,-85,76,-64,50,-36,15,-4,0,-1,-2,-2,-3,-1,-2,31,-49,45,-43,34,-29,19,-9,-1,-1,-2,0,0,2,0,0,256,143,-157,113,-120,53,-65,-83,19,145,22,37,-42,56,9,182,233,124,117,-101,-29,-97,48,-121,62,86,16,28,-20,45,6,147,-305,-258,-64,-15,78,-33,-27,-164,400,-110,-245,185,-24,141,-102,65,263,-3,-118,74,-42,37,-50,-60,-49,50,43,-19,-5,-7,17,40,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-346,11,-31,14,-22,8,-13,10,4,80,-33,47,-61,18,-49,79,44,-82,72,-64,56,-46,27,-20,17,57,7,22,-34,0,-43,90,13,-25,16,-22,14,-11,7,0,36,84,21,26,-44,-7,-66,125,-9,11,-8,1,-11,2,-9,10,191,158,140,-1,-75,-65,-141,357,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010;
2;32;1169;1265;70;504;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-161,-116,155,-57,43,-68,-20,-15,200,24,-56,31,-35,27,-20,6,-5,-16,-12,-1,-3,0,-1,2,-118,116,-58,-30,106,-145,136,-86,396,308,72,-263,144,388,-141,504,237,-109,-355,-133,-163,-191,-166,-74,-467,-133,406,82,-103,188,199,16,409,-66,-35,173,77,41,-344,399,-270,-24,202,-188,-354,-129,-149,-295,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-267,-99,73,-79,57,-54,30,-12,40,31,14,5,-25,-10,-29,69,-13,-2,-3,4,-2,-1,-4,-4,36,31,32,-1,-15,-15,-33,85,-3,-3,-5,-4,-1,1,-1,4,60,51,52,-2,-21,-25,-53,118,-3,1,0,-7,-4,-3,-6,8,196,151,146,-7,-70,-69,-138,356,274,-56,34,-43,25,-26,18,-7,2,-9,-10,-2,-4,0,-2,-2,72,-122,107,-101,83,-66,47,-21,-6,-4,-2,0,0,1,1,1,-63,86,-85,76,-64,50,-36,15,-4,0,-1,-2,-2,-3,-1,-2,31,-49,45,-43,34,-29,19,-9,-1,-1,-2,0,0,2,0,0,256,143,-157,113,-120,53,-65,-83,19,145,22,37,-42,56,9,182,233,124,117,-101,-29,-97,48,-121,62,86,16,28,-20,45,6,147,-305,-258,-64,-15,78,-33,-27,-164,400,-110,-245,185,-24,141,-102,65,263,-3,-118,74,-42,37,-50,-60,-49,50,43,-19,-5,-7,17,40,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-346,11,-31,14,-22,8,-13,10,4,80,-33,47,-61,18,-49,79,44,-82,72,-64,56,-46,27,-20,17,57,7,22,-34,0,-43,90,13,-25,16,-22,14,-11,7,0,36,84,21,26,-44,-7,-66,125,-9,11,-8,1,-11,2,-9,10,191,158,140,-1,-75,-65,-141,357,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010;
3;33;1169;1265;70;504;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-161,-116,155,-57,43,-68,-20,-15,200,24,-56,31,-35,27,-20,6,-5,-16,-12,-1,-3,0,-1,2,-118,116,-58,-30,106,-145,136,-86,396,308,72,-263,144,388,-141,504,237,-109,-355,-133,-163,-191,-166,-74,-467,-133,406,82,-103,188,199,16,409,-66,-35,173,77,41,-344,399,-270,-24,202,-188,-354,-129,-149,-295,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-267,-99,73,-79,57,-54,30,-12,40,31,14,5,-25,-10,-29,69,-13,-2,-3,4,-2,-1,-4,-4,36,31,32,-1,-15,-15,-33,85,-3,-3,-5,-4,-1,1,-1,4,60,51,52,-2,-21,-25,-53,118,-3,1,0,-7,-4,-3,-6,8,196,151,146,-7,-70,-69,-138,356,274,-56,34,-43,25,-26,18,-7,2,-9,-10,-2,-4,0,-2,-2,72,-122,107,-101,83,-66,47,-21,-6,-4,-2,0,0,1,1,1,-63,86,-85,76,-64,50,-36,15,-4,0,-1,-2,-2,-3,-1,-2,31,-49,45,-43,34,-29,19,-9,-1,-1,-2,0,0,2,0,0,256,143,-157,113,-120,53,-65,-83,19,145,22,37,-42,56,9,182,233,124,117,-101,-29,-97,48,-121,62,86,16,28,-20,45,6,147,-305,-258,-64,-15,78,-33,-27,-164,400,-110,-245,185,-24,141,-102,65,263,-3,-118,74,-42,37,-50,-60,-49,50,43,-19,-5,-7,17,40,172,165,-194,50,-34,-20,48,54,-75,10,37,-14,32,-14,17,-121,-6,72,-83,-34,49,-83,80,19,-51,-27,49,-1,26,-9,21,-42,-4,5,4,-6,-14,3,-1,-10,175,6,-107,-73,-2,-87,69,210,118,-1,-89,-17,-29,-26,23,184,36,-95,118,-59,52,-33,6,-60,-346,11,-31,14,-22,8,-13,10,4,80,-33,47,-61,18,-49,79,44,-82,72,-64,56,-46,27,-20,17,57,7,22,-34,0,-43,90,13,-25,16,-22,14,-11,7,0,36,84,21,26,-44,-7,-66,125,-9,11,-8,1,-11,2,-9,10,191,158,140,-1,-75,-65,-141,357,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010,-101010;
4;34;1177;1280;70;512;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-4,0,-1,-1,0,1,0,-1,-282,-8,187,-174,-366,-120,-155,-291,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,-378,-482,124,-39,103,82,-382,588,-66,451,115,182,170,-380,-107,-309,-251,-536,250,480,189,-175,434,-128,253,-75,123,-223,-220,180,-99,110,56,426,277,-221,-227,-263,-176,202,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-4,0,-1,-1,0,1,0,-1,-1,-2,-1,0,1,-2,-2,-1,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,82,31,0,-53,0,-34,0,-148,-384,-208,0,108,0,-14,0,162,424,-315,0,82,0,-102,0,-33,304,-76,0,45,0,1,0,79,-44,62,0,-32,0,4,0,-46,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,-101010;
5;35;1177;1281;70;512;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,377,-21,-78,212,44,67,-362,408,-282,-8,187,-174,-366,-120,-155,-291,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,-378,-482,124,-39,103,82,-382,588,-66,451,115,182,170,-380,-107,-309,-251,-536,250,480,189,-175,434,-128,253,-75,123,-223,-220,180,-99,110,56,426,277,-221,-227,-263,-176,202,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-4,0,-1,-1,0,1,0,-1,-1,-2,-1,0,1,-2,-2,-1,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,82,31,0,-53,0,-34,0,-148,-384,-208,0,108,0,-14,0,162,424,-315,0,82,0,-102,0,-33,304,-76,0,45,0,1,0,79,-44,62,0,-32,0,4,0,-46,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,-101010;
6;36;1177;1281;70;512;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,377,-21,-78,212,44,67,-362,408,-282,-8,187,-174,-366,-120,-155,-291,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,-378,-482,124,-39,103,82,-382,588,-66,451,115,182,170,-380,-107,-309,-251,-536,250,480,189,-175,434,-128,253,-75,123,-223,-220,180,-99,110,56,426,277,-221,-227,-263,-176,202,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-4,0,-1,-1,0,1,0,-1,-1,-2,-1,0,1,-2,-2,-1,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,82,31,0,-53,0,-34,0,-148,-384,-208,0,108,0,-14,0,162,424,-315,0,82,0,-102,0,-33,304,-76,0,45,0,1,0,79,-44,62,0,-32,0,4,0,-46,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,-101010;
7;37;1177;1281;70;512;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,377,-21,-78,212,44,67,-362,408,-282,-8,187,-174,-366,-120,-155,-291,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,-378,-482,124,-39,103,82,-382,588,-66,451,115,182,170,-380,-107,-309,-251,-536,250,480,189,-175,434,-128,253,-75,123,-223,-220,180,-99,110,56,426,277,-221,-227,-263,-176,202,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-4,0,-1,-1,0,1,0,-1,-1,-2,-1,0,1,-2,-2,-1,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,82,31,0,-53,0,-34,0,-148,-384,-208,0,108,0,-14,0,162,424,-315,0,82,0,-102,0,-33,304,-76,0,45,0,1,0,79,-44,62,0,-32,0,4,0,-46,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,-101010;
8;38;1177;1281;70;512;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,377,-21,-78,212,44,67,-362,408,-282,-8,187,-174,-366,-120,-155,-291,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,-378,-482,124,-39,103,82,-382,588,-66,451,115,182,170,-380,-107,-309,-251,-536,250,480,189,-175,434,-128,253,-75,123,-223,-220,180,-99,110,56,426,277,-221,-227,-263,-176,202,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-4,0,-1,-1,0,1,0,-1,-1,-2,-1,0,1,-2,-2,-1,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,82,31,0,-53,0,-34,0,-148,-384,-208,0,108,0,-14,0,162,424,-315,0,82,0,-102,0,-33,304,-76,0,45,0,1,0,79,-44,62,0,-32,0,4,0,-46,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,-101010;
9;39;1177;1281;70;512;169;0;234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,377,-21,-78,212,44,67,-362,408,-282,-8,187,-174,-366,-120,-155,-291,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,-378,-482,124,-39,103,82,-382,588,-66,451,115,182,170,-380,-107,-309,-251,-536,250,480,189,-175,434,-128,253,-75,123,-223,-220,180,-99,110,56,426,277,-221,-227,-263,-176,202,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,234,-23,-12,-8,-1,1,-2,-3,-3,-18,-10,-3,-1,-1,-1,1,-14,-7,-2,0,1,1,-1,-4,-7,-4,1,1,1,-1,-2,-2,0,-3,0,1,-1,-1,0,2,-4,0,-2,-1,-1,1,1,1,-4,0,-1,-1,0,1,0,-1,-1,-2,-1,0,1,-2,-2,-1,376,22,0,27,0,40,0,115,60,73,0,-75,0,-32,0,-182,261,244,0,-40,0,103,0,108,82,31,0,-53,0,-34,0,-148,-384,-208,0,108,0,-14,0,162,424,-315,0,82,0,-102,0,-33,304,-76,0,45,0,1,0,79,-44,62,0,-32,0,4,0,-46,162,-83,-234,-24,-118,0,-58,-82,-124,-4,-52,-33,-59,-34,-66,93,52,130,-45,141,14,101,19,-29,-84,-8,6,-16,-31,-18,-36,23,13,25,20,5,19,17,4,13,131,-78,-165,-1,-20,62,54,-219,114,-71,-73,0,9,38,53,-176,-31,-2,31,-29,-8,-24,-7,45,-336,-20,-10,-5,-1,2,6,-5,53,19,10,-32,-3,-3,45,-55,-13,-6,0,0,-4,-2,0,3,51,37,22,-31,1,-7,58,-69,-4,-6,-4,-1,3,-1,1,-4,80,61,31,-49,-3,-14,87,-94,-5,-3,-6,-9,1,-2,7,-7,258,176,90,-142,1,-26,245,-286,-101010;
